id,original_text,appeal_text,lemmatized,category,is_escalated,sentiment,urgency
118,Это недопустимо! Требую реакции руководства по вопросу расписание.,Это недопустимо! Требую реакции руководства по вопросу расписание.,это недопустимый требовать реакция руководство по вопрос расписание,Расписание,True,negative,high
119,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
120,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
121,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
122,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
123,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по технический проблема просить разобраться на высокий уровень,Технические проблемы,True,negative,high
124,"Обращался多次, но проблему по общежитие и проживание так и не решили.","Обращался多次, но проблему по общежитие и проживание так и не решили.",обращался多次 но проблема по общежитие и проживание так и не решить,Общежитие и проживание,True,negative,high
125,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
126,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
127,Ситуация критичная. По административные вопросы ничего не решается уже долгое время.,Ситуация критичная. По административные вопросы ничего не решается уже долгое время.,ситуация критичный по административный вопрос ничто не решаться уже долгий время,Административные вопросы,True,negative,high
128,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
129,Это недопустимо! Требую реакции руководства по вопросу оплата и финансы.,Это недопустимо! Требую реакции руководства по вопросу оплата и финансы.,это недопустимый требовать реакция руководство по вопрос оплата и финансы,Оплата и финансы,True,negative,high
130,Ситуация критичная. По расписание ничего не решается уже долгое время.,Ситуация критичная. По расписание ничего не решается уже долгое время.,ситуация критичный по расписание ничто не решаться уже долгий время,Расписание,True,negative,high
131,"Обращался多次, но проблему по общежитие и проживание так и не решили.","Обращался多次, но проблему по общежитие и проживание так и не решили.",обращался多次 но проблема по общежитие и проживание так и не решить,Общежитие и проживание,True,negative,high
132,Это недопустимо! Требую реакции руководства по вопросу документы и справки.,Это недопустимо! Требую реакции руководства по вопросу документы и справки.,это недопустимый требовать реакция руководство по вопрос документ и справка,Документы и справки,True,negative,high
133,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
134,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
135,Это недопустимо! Требую реакции руководства по вопросу документы и справки.,Это недопустимо! Требую реакции руководства по вопросу документы и справки.,это недопустимый требовать реакция руководство по вопрос документ и справка,Документы и справки,True,negative,high
136,"Обращался多次, но проблему по оплата и финансы так и не решили.","Обращался多次, но проблему по оплата и финансы так и не решили.",обращался多次 но проблема по оплата и финансы так и не решить,Оплата и финансы,True,negative,high
137,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,ситуация критичный по поступление и приемный комиссия ничто не решаться уже долгий время,Поступление и приёмная комиссия,True,negative,high
138,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
139,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,ситуация критичный по поступление и приемный комиссия ничто не решаться уже долгий время,Поступление и приёмная комиссия,True,negative,high
140,"Обращался多次, но проблему по поступление и приёмная комиссия так и не решили.","Обращался多次, но проблему по поступление и приёмная комиссия так и не решили.",обращался多次 но проблема по поступление и приемный комиссия так и не решить,Поступление и приёмная комиссия,True,negative,high
141,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
142,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,это недопустимый требовать реакция руководство по вопрос преподаватель и качество обучение,Преподаватели и качество обучения,True,negative,high
143,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
144,Это недопустимо! Требую реакции руководства по вопросу поступление и приёмная комиссия.,Это недопустимо! Требую реакции руководства по вопросу поступление и приёмная комиссия.,это недопустимый требовать реакция руководство по вопрос поступление и приемный комиссия,Поступление и приёмная комиссия,True,negative,high
145,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
146,Ситуация критичная. По технические проблемы ничего не решается уже долгое время.,Ситуация критичная. По технические проблемы ничего не решается уже долгое время.,ситуация критичный по технический проблема ничто не решаться уже долгий время,Технические проблемы,True,negative,high
147,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
148,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
149,Ситуация критичная. По общежитие и проживание ничего не решается уже долгое время.,Ситуация критичная. По общежитие и проживание ничего не решается уже долгое время.,ситуация критичный по общежитие и проживание ничто не решаться уже долгий время,Общежитие и проживание,True,negative,high
150,"Обращался多次, но проблему по преподаватели и качество обучения так и не решили.","Обращался多次, но проблему по преподаватели и качество обучения так и не решили.",обращался多次 но проблема по преподаватель и качество обучение так и не решить,Преподаватели и качество обучения,True,negative,high
151,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
152,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по расписание просить разобраться на высокий уровень,Расписание,True,negative,high
153,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,ситуация критичный по оплата и финансы ничто не решаться уже долгий время,Оплата и финансы,True,negative,high
154,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
155,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
156,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
157,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
158,Ситуация критичная. По общежитие и проживание ничего не решается уже долгое время.,Ситуация критичная. По общежитие и проживание ничего не решается уже долгое время.,ситуация критичный по общежитие и проживание ничто не решаться уже долгий время,Общежитие и проживание,True,negative,high
159,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
160,Это недопустимо! Требую реакции руководства по вопросу другое.,Это недопустимо! Требую реакции руководства по вопросу другое.,это недопустимый требовать реакция руководство по вопрос другой,Другое,True,negative,high
161,Ситуация критичная. По преподаватели и качество обучения ничего не решается уже долгое время.,Ситуация критичная. По преподаватели и качество обучения ничего не решается уже долгое время.,ситуация критичный по преподаватель и качество обучение ничто не решаться уже долгий время,Преподаватели и качество обучения,True,negative,high
162,Это недопустимо! Требую реакции руководства по вопросу технические проблемы.,Это недопустимо! Требую реакции руководства по вопросу технические проблемы.,это недопустимый требовать реакция руководство по вопрос технический проблема,Технические проблемы,True,negative,high
163,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
164,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
165,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
166,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
167,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,ситуация критичный по оплата и финансы ничто не решаться уже долгий время,Оплата и финансы,True,negative,high
168,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
169,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
170,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
171,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
172,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
173,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
174,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
175,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
176,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
177,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
178,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,ситуация критичный по оплата и финансы ничто не решаться уже долгий время,Оплата и финансы,True,negative,high
179,Ситуация критичная. По документы и справки ничего не решается уже долгое время.,Ситуация критичная. По документы и справки ничего не решается уже долгое время.,ситуация критичный по документ и справка ничто не решаться уже долгий время,Документы и справки,True,negative,high
180,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
181,"Обращался多次, но проблему по оплата и финансы так и не решили.","Обращался多次, но проблему по оплата и финансы так и не решили.",обращался多次 но проблема по оплата и финансы так и не решить,Оплата и финансы,True,negative,high
182,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
183,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
184,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
185,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
186,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по технический проблема просить разобраться на высокий уровень,Технические проблемы,True,negative,high
187,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
188,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
189,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
190,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
191,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
192,"Обращался多次, но проблему по преподаватели и качество обучения так и не решили.","Обращался多次, но проблему по преподаватели и качество обучения так и не решили.",обращался多次 но проблема по преподаватель и качество обучение так и не решить,Преподаватели и качество обучения,True,negative,high
193,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
194,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
195,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
196,"Обращался多次, но проблему по другое так и не решили.","Обращался多次, но проблему по другое так и не решили.",обращался多次 но проблема по другой так и не решить,Другое,True,negative,high
197,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
198,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
199,Ситуация критичная. По другое ничего не решается уже долгое время.,Ситуация критичная. По другое ничего не решается уже долгое время.,ситуация критичный по другой ничто не решаться уже долгий время,Другое,True,negative,high
200,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
201,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,это недопустимый требовать реакция руководство по вопрос преподаватель и качество обучение,Преподаватели и качество обучения,True,negative,high
202,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
203,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
204,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
205,Ситуация критичная. По общежитие и проживание ничего не решается уже долгое время.,Ситуация критичная. По общежитие и проживание ничего не решается уже долгое время.,ситуация критичный по общежитие и проживание ничто не решаться уже долгий время,Общежитие и проживание,True,negative,high
206,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
207,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
208,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
209,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
210,"Обращался多次, но проблему по расписание так и не решили.","Обращался多次, но проблему по расписание так и не решили.",обращался多次 но проблема по расписание так и не решить,Расписание,True,negative,high
211,Ситуация критичная. По административные вопросы ничего не решается уже долгое время.,Ситуация критичная. По административные вопросы ничего не решается уже долгое время.,ситуация критичный по административный вопрос ничто не решаться уже долгий время,Административные вопросы,True,negative,high
212,Уже третий раз не могу решить вопрос по оплата и финансы. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по оплата и финансы. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по оплата и финансы просить разобраться на высокий уровень,Оплата и финансы,True,negative,high
213,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
214,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
215,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
216,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
217,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
218,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
219,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
220,"Обращался多次, но проблему по документы и справки так и не решили.","Обращался多次, но проблему по документы и справки так и не решили.",обращался多次 но проблема по документ и справка так и не решить,Документы и справки,True,negative,high
221,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
222,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по технический проблема просить разобраться на высокий уровень,Технические проблемы,True,negative,high
223,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
224,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
225,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
226,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по расписание просить разобраться на высокий уровень,Расписание,True,negative,high
227,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
228,Уже третий раз не могу решить вопрос по преподаватели и качество обучения. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по преподаватели и качество обучения. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по преподаватель и качество обучение просить разобраться на высокий уровень,Преподаватели и качество обучения,True,negative,high
